iter	MultiClass	Accuracy
492	-0.08057502428	0.9956958393
493	-0.08029953069	0.9956958393
494	-0.08006355187	0.9956958393
495	-0.07979282355	0.9956958393
496	-0.07956183114	0.9956958393
497	-0.07928015426	0.9956958393
498	-0.07908960735	0.9956958393
499	-0.07882528842	0.9956958393
500	-0.0786414885	0.9956958393
501	-0.0784598931	0.9956958393
502	-0.07829448013	0.9956958393
503	-0.07804244564	0.9956958393
504	-0.07775741423	0.9956958393
505	-0.07743983217	0.9956958393
506	-0.07715864074	0.9956958393
507	-0.07687743785	0.9956958393
508	-0.0766645335	0.9956958393
509	-0.07647074703	0.9956958393
510	-0.07621701045	0.9956958393
511	-0.0759982932	0.9956958393
512	-0.07578250345	0.9956958393
513	-0.07552070561	0.9956958393
514	-0.07530390469	0.9956958393
515	-0.07516643011	0.9956958393
516	-0.07490519552	0.9956958393
517	-0.07464285361	0.9956958393
518	-0.07445429986	0.9956958393
519	-0.0742057853	0.9956958393
520	-0.07402194116	0.9956958393
521	-0.07379336834	0.9956958393
522	-0.07360714998	0.9956958393
523	-0.07336712321	0.9956958393
524	-0.07321598661	0.9956958393
525	-0.07298279188	0.9956958393
526	-0.07275764425	0.9956958393
527	-0.07254583335	0.9956958393
528	-0.07241312453	0.9956958393
529	-0.07218531592	0.9956958393
530	-0.07195975751	0.9956958393
531	-0.07179389979	0.9956958393
532	-0.07155810578	0.9956958393
533	-0.07136139509	0.9956958393
534	-0.07114304772	0.9956958393
535	-0.07094432975	0.9956958393
536	-0.07072196212	0.9956958393
537	-0.07047290886	0.9956958393
538	-0.07029505501	0.9956958393
539	-0.07009112355	0.9956958393
540	-0.06989864049	0.9956958393
541	-0.06965960295	0.9956958393
542	-0.06942099988	0.9956958393
543	-0.06920647114	0.9956958393
544	-0.06900152315	0.9956958393
545	-0.06885623114	0.9956958393
546	-0.0686338287	0.9956958393
547	-0.06845585515	0.9956958393
548	-0.06825079564	0.9956958393
549	-0.06809832363	0.9956958393
550	-0.06787928691	0.9956958393
551	-0.06771757309	0.9956958393
552	-0.06755977453	0.9956958393
553	-0.06734338208	0.9956958393
554	-0.06715285988	0.9956958393
555	-0.06690323119	0.9956958393
556	-0.06672839899	0.9956958393
557	-0.06652452678	0.9956958393
